song_name,song_id,song_popularity,song_release,song_duration
U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,74,2001-08-07,4.45
Beautiful,3TCauNPqFiniaYHBvEVoHG,71,2002-07-19,3.98
Money Trees,0AOvNRgl0SMfOibWA5bP8o,65,2012,6.45
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,1yy2DlSDtEt90d54rPDPXz,69,1997,5.11
Back That Azz Up,525yPO8r5J6kLostDxm3XK,56,2004-01-01,4.43
No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,81,1996-09-09,5.08
Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,80,1996-02-13,4.98
Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,78,1998-08-25,5.34
Alright,0ECs7wpW9157Tk5yBUGbE0,62,2015-10-16,3.24
Holy Grail,37jTPJgwCCmIGMPB45jrPV,66,2013-07-04,5.64
On To The Next One,4ljDnzzqwnRIynr1g55um4,57,2009-09-08,4.27
Young Forever,35srNkJVToAzYiZzron1FY,69,2009-09-08,4.23
Ni**as In Paris,1auxYwYrFRqZP7t3s7w4um,82,2011-08-08,3.66
Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,76,2005-08-30,3.94
Paranoid,0w2piYWj1F2bzUftzGJgK9,65,2008-11-24,4.63
Love Lockdown,1kxeWHF9PrCVZHvVskv8lg,66,2008-11-24,4.51
Lost In The World,2Im64pIz6m0EJKdUe6eZ8r,65,2010-11-22,4.28
Blame Game,4EndPA8b6FDWYp1RgsnLEB,63,2010-11-22,7.83
Dark Fantasy,7yNK27ZTpHew0c55VvIJgm,71,2010-11-22,4.68
New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,62,2018-03-30,3.2
Vanish Into You,5IoPnNiYAOvHHJpz13wzRL,84,2025-03-07,4.08
Good Morning,6MXXY2eiWkpDCezVCc0cMH,75,2007-09-11,3.25
Shadow Of A Man,6OC87jHRiovNPEUrgaqFSu,83,2025-03-07,3.33
Don't Call Tonight,0uoWOZeZZiC90RMNDQBqj4,79,2025-03-07,3.76
How Bad Do U Want Me,2rvd6akG8qEtBNUvQpN7iY,85,2025-03-07,3.98
LoveDrug,3hcivoswCVR8LZkHR8MYA5,81,2025-03-07,3.22
Killah (feat. Gesaffelstein),4pNzBbGcqXofx8mLBPTeih,81,2025-03-07,3.51
Perfect Celebrity,0Tqn5Th0wk55eLdga96vZM,82,2025-03-07,3.82
Garden Of Eden,4mUR5Tv0CvJtpmnUtzeIgd,87,2025-03-07,4.0
FXCK UP THE WORLD (feat. Future),4rBRRLgdB9DYJhqA9uVcWt,84,2025-02-28,3.07
Only You,3mGwufkovVPrzsJaXWg8PU,59,1982,3.26
Obsessed,0ekPOYOJPlwgTRS1ktn2aW,55,2009-09-28,4.04
We Gonna Take U Back (Lude) / Don't Leave Me,13oGc1Mi9niBlo5eTmgGMa,65,1996-09-09,5.29
Overnight Celebrity (feat. Miri Ben-Ari),2tOZtdbkAMQASWokLvSlzj,70,2004-01-27,3.89
Together (feat. Gwen Stefani),0otmDG441slQ7QYZUPgBcM,45,2014-10-31,3.64
Sissy That Walk,4KvHJkVdQQrskjVfGoYedT,60,2014-02-24,3.54
Voicemail (feat. Kiana Ledé),4hS7b55aChkN6FePTc6CeD,45,2021-12-03,4.12
I know love (feat. The Kid LAROI),4xvEn1vhrF9JbPFWqTXsH4,83,2025-02-21,2.6
Purple lace bra,2bqLj0NvdtGbPCl9PdBtP2,78,2025-02-21,3.19
Dear god,2ETQsbiuGm2WLOSOr2I19A,79,2025-02-21,2.85
bloodonmyhands (feat. Flo Milli),0DA8aZZvG73AijDYT00ki1,78,2025-02-21,2.71
Miss possessive,4Q9ExJGFgL9Jd9kmYH3nXs,81,2025-02-21,2.32
Middle,0g5EKLgdKvNlln7TNqBByK,79,2016-08-05,3.68
Messy,35ISBknsCeZQtq66xABI9g,90,2024-06-21,4.73
New Bottega,05IOuexttkZG6eQLFi3v40,68,2023-03-10,3.15
Till It Hurts,0uXWA2wQibKe9XHMHSYenF,60,2014-11-24,3.14
Clarks,6LKeLk5IBQUb9eoXidchGQ,63,2012-01-23,3.06
Faixa Amarela,3Rp4m03mbhlYgIeSWNP9xm,59,1997-01-01,4.94
You And Me,2vX2gAMw0TsKQ8GUpCPBKD,16,2017-07-14,4.81
Born Again (feat. Doja Cat & RAYE),4CPuDVC8jhhK6lA2DIt8Cf,86,2025-02-06,3.85
Differences,0Uyh92tLyb9JawG8lmWCzJ,69,2001-04-03,4.43
What's Love Got to Do with It - 2015 Remaster,3ErsOxqe2RmXkR65wkygDz,73,1984-05-29,3.84
Easy,1JQ6Xm1JrvHfvAqhl5pwaA,81,1977-01-01,4.27
Midnight Train to Georgia,7MF7QAodbGzNYav5ZfIhAY,73,1973,4.66
Emotion,1TSehAcbBAcmZlSNMjmf6U,63,1977-12-06,3.95
Anna Wintour,59fZ1smcmciapt7NB00t96,58,2018-04-06,4.57
C'Mon,4bO6IzKXMWhmncfIO9GBq2,64,2012-11-30,3.57
Please Please Please,2tHwzyyOLoWSFqYNjeVMzj,88,2024-08-23,3.11
Abracadabra,5ZLUm9eab8y3tqQ1OhQSHI,92,2025-02-03,3.72
Sway With Me (with GALXARA),5gqLY5H1ZyT3BScVr0nDMs,57,2020-01-31,2.8
Bright Lights,6fbbg7VzHuUD78ZOTiqDyU,25,2012-04-02,3.46
