song_name,song_id,song_popularity,song_release,song_duration
WHISKEY WHISKEY (feat. Morgan Wallen),7hRLuo4QnzCsjICXUOhTE6,74,2024-06-14,2.68
Timeless (feat. Playboi Carti),1Es7AUAhQvapIcoh3qMKDL,78,2024-09-27,4.27
Back To December,3DrjZArsPsoqbLzUZZV1Id,60,2010-10-25,4.88
Listen To Your Heart,1WrwmNLeltkG6BuXv2DEWS,63,1988-10-22,5.47
Why,58LflM1owDAzQkYIL7ayCX,53,2004-01-01,4.0
Wish I Didn't Miss You,3tZm76otWH20xzJC7icHCk,69,2001-10-16,4.51
She Wolf (Falling to Pieces) [feat. Sia],1SgdUjvppHnIp6L7DZSnwc,71,2012-12-07,3.71
GORGEOUS (feat. Kim Petras),2c121Da4d1kLut5aqRgzpK,56,2024-09-20,3.29
ARTIFICIAL (feat. JID),3UxPCKSa8fPIhP7KMSD0HW,48,2024-09-20,2.73
GIMME GIMME (feat. 21 Savage),0mIdd1nk8c57gCIoaEtGXw,49,2024-09-20,2.96
Eusexua,7FdDBpqrdpWtdAromLpv4V,54,2024-09-13,4.39
Taste,5G2f63n7IPVPPjfNIGih7Q,92,2024-08-23,2.62
"I'M HIS, HE'S MINE (feat. Doechii)",3NPY62YGNoM3lALLaKWiFL,64,2024-09-13,3.31
Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,19,1998-11-09,5.0
Neon Eyes,3kOi5KZTcCOdqFlUjF9CDZ,67,2021-01-08,3.77
Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,80,1970,2.44
Shabba Madda Pot,6S9QZ8QTN5oOUChcYWChnK,63,2015-05-12,2.38
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,92,2017-07-21,3.01
Favourite Girl (with Rema),3eRaxLLhyYHKr8oiR6NeYI,60,2024-08-08,3.08
Cheers (Drink To That),46MDLc0Yip6xCMSsdePOAU,50,2010-11-16,4.36
Disasterology,66FbkukCI5pva9EbMvT0pV,57,2010-06-21,3.45
Jessie's Girl,2F1fnE1a8zQCogM6jJifHH,62,1981-03-13,3.24
Major Tom (Coming Home),709ffFK4o4MtG1NKoLvOma,66,1989-04-11,5.02
Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,69,2007-03-27,5.49
Asiwaju,6z5y2kdxF4XrEVRFVqdGVL,75,2023-09-01,3.6
King Of The Dancehall,2vACumvzzT2ZngO2p7i3Gu,56,2004-01-01,3.62
360 featuring robyn & yung lean,0VYJseZYvfVP3YOsQZ1tzS,52,2024-05-31,2.16
don't wanna break up again,0o3ua5ufFK7nfRzbDUNoGA,74,2024-03-08,2.9
HEAT,3Du9k9oZz7DJCMZviju2lD,68,2024-06-14,3.63
Apple,19RybK6XDbAVpcdxSbZL1o,83,2024-06-07,2.53
Thinking Of You,3c9LVPh3MpeFoaAL5DBDK5,60,2008-06-17,4.11
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,86,1976-12-08,6.52
Tu Príncipe,2FNqnsX74ZlwduUAcnmzee,47,2004-07-13,3.43
Dip It Low - Feat. Fabolous,4lC9YAe6ZicEtxz6HQZFd5,45,2004,3.64
MTG QUEM NÃO QUER SOU EU,6RjSXi9cPGroetXeNsWFGL,75,2024-05-10,2.06
CHIHIRO - MTG,2uoqxEz9kqytYKmlQTxvUh,58,2024-07-08,2.52
Call on Me - Radio Mix,1xNcBAoUw8Hz6LqK2jt4Ff,77,2004-09-10,2.86
Human Nature,4cgjA7B4fJBHyB9Ya2bu0t,72,1982-11-30,4.1
Die With A Smile,2plbrEY59IikOBgBGLjaoe,99,2024-08-16,4.19
New Woman (feat. ROSALÍA),7ov3TDp5D00Rnu5R1viX4w,77,2024-08-15,3.0
What Do You Take Me For?,3atJHxLvZgzvM96HMG2yEh,30,2011-01-01,2.93
LIFETIMES,0K8sKuo6xLHZgySZmmw2rV,63,2024-08-08,3.2
Iris,6Qyc6fS4DsZjB2mRW9DsQs,92,1998,4.83
Diet Pepsi,6MzofobZt2dm0Kf1hTThFz,86,2024-08-09,2.83
Run Away With Me,6vXVtrzXIXvKbgZML5Ehw3,4,2015-08-21,4.19
Déjà vu (feat. Sia),72ojun8ufF5Y0YzssmvVHL,41,2015-06-12,3.33
No Letting Go,5dWfl2PBpKHpBVdz95wxK1,67,2003,3.37
LONG DISTANCE,5vG7iwUFxDI8xSDfya1Ist,0,2015-11-30,3.66
You're a God,758wp6xs3ADdgIwdeHoXmX,59,1999-06-14,3.65
If You Let Me,2BfxLAYgetcxiyXJA7ItoF,57,2021-09-24,2.26
What About Us,0Qh38w01QRXK6KHIv0e3hb,77,2017-10-13,4.49
What I Got,3B4q6KbHbGV51HO3GznBFF,78,1996-07-30,2.85
Groupie Love (feat. A$AP Rocky),03hqMhmCZiNKMSPmVabPLP,66,2017-07-21,4.4
Streets,60ynsPSSKe6O3sfwRnIBRf,85,2019-11-07,3.78
Babyface Savage (feat. Tory Lanez),2xB64x7pRS8Qa9uuZktOnA,61,2019-01-10,2.69
8,6X29iaaazwho3ab7GNue5r,69,2019-03-29,2.89
LoveGame,5iHDEI2GIsx3YEa9OXPtRJ,59,2009-11-05,3.61
Call Your Girlfriend,2sCoROOlNQyFpRQEe6A5lv,54,2010-01-01,3.79
Time Machine,0wfa517BvgllE2ZDgReFDJ,38,2010-01-01,3.58
Don't Stop Believin' (Glee Cast Version) - Cover of Journey,6rjnRocdCULjLF61x2NR5e,56,2009-11-02,3.87
Inside Out,1MXmaCZEtfPrCbtYjJIbzl,45,2011-03-28,3.63
Doin' Time,0cLS7FslBJgsuWwJNRnPWB,1,2019-05-17,3.37
6 Kiss (feat. Juice WRLD & YNW Melly),0Y3OJ2TBul2Xn1w8o2WXAy,64,2019-11-22,3.32
SAD!,3ee8Jmje8o58CHK66QrVC2,82,2018-03-16,2.78
Welcome To The Party,0fIffclhgJC5h8AdMMVvkp,68,2019-07-26,3.58
Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,81,2007-12-14,4.35
Brick by Boring Brick,1a9YW7fATU351ok4zWjU7a,68,2009-09-22,4.23
Best I Ever Had Remix,6DzTaNNwdUXiJI1l0u6wNe,54,2021-05-14,5.43
Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,78,2014-01-01,3.49
1er Gaou,6eqqWm2LkDweTHhz1u5KKo,2,2003-01-01,4.92
Ô Moça,1mQOFRDoqI34LdN79PE0vH,61,2020-12-21,3.02
Talibans II,5zq5fYXIE7X842DD5HBiiB,57,2023-07-20,2.94
Talibans,0TTOsyDKykWhCh3qDd9wMY,66,2023-01-20,3.15
Lola,6hkr5ZGVOt3Z2BNGE6yqpB,54,2019-11-08,3.87
"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,95,2024-04-05,3.64
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,72,2019-03-07,3.42
Yo Bunny,6914nrqNob8EcW3qyEhihe,71,2024-05-29,1.84
All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd,78,2009-09-22,3.76
Flying Without Wings,1pDylAt4nUPy2r72KRQDYX,66,1999-11-01,3.6
DOGTOOTH,0judK8TqYfvwUohBngUxrE,13,2023-03-27,2.68
"You Don't Love Me (No, No, No) - Extended Mix",0INtJm8gCJKtNaAYQNVlpZ,73,1994,4.63
Dark Paradise,6qqdFWe7C4LsBjWbXQdsHA,74,2012-01-01,4.05
Paradise,0Rx0DJI556Ix5gBny6EWmn,72,2019-08-09,2.82
Chewing Gum,3jxExv27cf3OSt0BXtAR6Z,63,2018-08-24,4.4
Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,80,2019-08-30,3.37
Love,0W4NhJhcqKCqEP2GIpDCDq,83,2005-01-01,4.26
Everytime We Touch,5YJtMNWKe55yr49cyJgxva,77,2010-02-12,3.29
Breathe (feat. Sean Paul) - Rap Version,3SbyfpvAG4Ok5LP3ws3r3U,45,2003-07-15,3.81
Turn Me On,0RmXtDH1cBMGImRrmn5xL6,65,2004-03-30,3.2
Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,72,2001-05-14,3.52
Tambourine,1U16aNzvnlfARgjWXjKmQj,69,2007-01-01,3.21
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,73,2006-09-13,4.11
Spotlight,6VREqGuq8vjCNTTGoILUCu,48,2008-09-27,4.17
You Rock My World - Radio Edit,4oY2T9ur7Ll5b2kpBlcWcb,65,1979,4.43
If You Asked Me To,6vubJBI43jIr557lvNbzlH,58,1992-03-30,3.91
Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,77,1971-08-14,5.01
No More Drama,7nWsh14AHpnTzq1Xejz90U,56,2001-08-28,5.44
This Is How We Do It,6uQKuonTU8VKBz5SHZuQXD,69,1995-01-01,3.98
I'm Every Woman,2eHj0klWkwRQuIrNlPpCPa,64,1992-11-17,4.75
Tearin' up My Heart - Radio Edit,73q3FpQVXWk5eSUnyo83E4,68,1997,3.49
Spice Up Your Life,5qGwqO0lkbBXw4xNfzT7SF,68,1997-01-01,2.89
Let's Get Loud,42nSaPdT6g3ZIMHmKLlP2p,71,1999-06-01,3.99
Thong Song,5Mmk2ii6laakqfeCT7OnVD,73,1999-11-30,4.23
It's All Coming Back to Me Now,5EQzuYfTZt7B2LqlvTF49l,76,1996-03-11,7.61
"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq,77,1997-11-14,4.67
Vogue,27QvYgBk0CHOVHthWnkuWt,71,2009-09-18,5.28
Karma Chameleon,4NH4xiPQ7TqNGqj6pZV4ki,65,1989-01-01,4.04
Sweet Dreams (Are Made of This) - 2005 Remaster,1TfqLAPs4K3s2rJMoCokcS,85,1983-01-04,3.62
Wanna Be Startin' Somethin',1hu2s7qkm5bo03eODpRQO3,67,1982-11-30,6.06
If I Could Turn Back Time,6mYrhCAGWzTdF8QnKuchXM,75,1989-01-01,4.0
Time After Time,1Jj6MF0xDOMA3Ut2Z368Bx,71,2014-03-28,4.05
What's Love Got to Do with It,4kOfxxnW1ukZdsNbCKY9br,70,1993,3.78
Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh,68,1996-11-08,4.68
The Way You Make Me Feel - 2012 Remaster,0sKlV58cODrjxGFOyf9IXY,72,2012-09-18,4.97
Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,79,1985,4.38
I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,74,1980-05-22,5.39
Siddung,6vJMbK7PtIbC3FrNA1WPIV,0,2016-10-14,2.47
Waistline,1W8pwkDbdMBo1Whf4pkVLU,45,2023-09-15,2.77
Tears in Heaven,1kgdslQYmeTR4thk9whoRw,75,1992-01-10,4.53
First Class,0wHFktze2PHC5jDt3B17DC,78,2022-05-06,2.9
QLONA,3XB5uhhlYSnkxpSihkNQwh,74,2023-08-11,2.88
D'Evils,0wY9rA9fJkuESyYm9uzVK5,71,2018-01-19,2.86
Deh Wid You,2fprSLS1eVazlwnIcbt6j7,15,2006-07-18,3.51
Voodoo Child (Slight Return),2AxCeJ6PSsBYiTckM0HLY7,68,1968-10-25,5.22
Hey Joe,0NWPxcsf5vdjdiFUI8NgkP,70,1967-05-12,3.5
Round Whippin',3Ye33Uv9q169tTbnKK70K3,41,2016-06-03,3.48
Pump It Up,7tDbbfzB1d52lWP8rq8zRZ,63,2003-06-10,4.19
Gun Shot,5Wr71Up0JJjzQJsBYFdT47,29,2012-04-03,4.66
Whip It,1SS38X5qoCYFZD3Xp0Z3Zp,36,2012-04-03,3.26
Masquerade,4Yq8zdF9bbXce2IdQvB2Ii,34,2012-04-03,3.81
HE KNOWS (feat. Lil Nas X),5TdrCQVt3l1uEz3pFdTgXC,62,2024-06-28,3.03
Dade County Dreaming (feat. JT & Yung Miami),3Prg72TRbGsiJMHZ3D1nPR,58,2024-06-28,2.66
Baba Yetu,6UDFkqHY5gLREnSh9jd5th,55,2009-10-01,3.5
BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,100,2024-05-17,3.51
Lean On,01aTsQoKoeXofSTvKuunzv,78,2015-06-01,2.94
Masterpiece,4PYiIgzcp4o5pEYji1xY9q,61,2014-10-10,3.68
Houdini,4OMJGnvZfDvsePyCwRGO7X,26,2023-11-09,3.1
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,82,2017-06-16,2.72
Good Girls Go Bad (feat. Leighton Meester),7kMfu3KUydmrFVGEAhjtyl,69,2009-08-07,3.27
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,85,1983-08-08,3.3
Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,79,2009-01-01,3.37
Lights On,4EBmRDnoPHS8CnumK8tVv8,49,2024-06-14,3.76
Countdown,0tmaWVKVoYNa9m4ctwSsmb,38,2011,3.54
As Long as You Love Me,3UpS7kBnkVQYG13pDDFTC4,80,1997-08-12,3.69
Fernando,4BM8yJ0PzBi2ZewpMTOxtx,73,1976,4.22
Pretty Boy (feat. Lil Yachty),0f1G5SHFoFC9lO03gHCGVS,1,2020-09-25,2.61
Dear God,2FML7gk7ac6quGFIjvkDb3,73,2007-10-26,6.56
Rockstar - Extended,01prGWjCTxKBxJc400zwvQ,63,2024-06-27,2.75
Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,84,2020-03-27,3.38
I'm Still in Love,7d2h9rCEOYTWQN3zQz9LpX,54,2020-01-10,3.76
Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,86,1980-06-10,3.95
It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,82,2000-08-08,3.79
Red Red Wine,4uOKFydzAejjSFqYbv1XPt,76,2000,3.06
Sweat (A La La La La Long),1nXTM2CVdaoCySSD5kgt3J,76,1992-06-02,3.82
Jamming,3GIChxHmuLmBm5PTNZGDtj,79,1977-06-03,3.52
Nun Nun,7o60UHSLPo5SuNc0v9hG7o,32,2024-06-28,2.25
Cody,3pnqrsWJZHGEL2GmI1We9L,31,2024-06-28,3.0
Little Red Riding Good,5dIE62ZmpjSayNdSsW2TW7,50,2024-06-28,3.28
Double Homicide,6IjRKzkCbbBnM8itEIdw2C,37,2024-06-28,1.96
Dui,4kXtAHpdIQoIuIAJcmkjph,38,2024-06-28,2.28
Thot Shit,7FdmHr87G79PDRGy9SPBkZ,69,2021-10-29,3.08
BOA,0FPCqTZoiZpEs324IJFFpQ,63,2024-06-28,2.58
HOT UPTOWN (feat. Drake),4sFnOjqO3s7Iphbg2MPKDd,59,2024-06-28,2.51
It's Okay To Cry,5djCX0bDd96N89Ayv5Y8Y2,43,2017-06-14,3.84
"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",52Dw5hXeylenurLTKoFJfZ,57,2006-01-01,3.05
Love Myself,36phXHOKx8rO7CMp2vNX4x,72,2016-02-26,3.65
Hang With Me,6rW8q1p2GCjGMRAlnxBeo7,44,2010-01-01,4.33
Body On Me ft. Chris Brown,1Bjpfvw2dhivyludgB0fyt,63,2015-08-07,3.75
S.O.S.,6sDP4912wjwB7BJhbSnjS1,65,2007-01-01,2.56
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),2StLVmvyGXq4tzlpWZiUh3,56,2024-06-25,2.68
KRYPTONITE,3kqc6Hv2nKJQxa4E9KARJq,60,2024-06-25,3.04
I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,83,2024-04-18,3.63
Welcome Home (Sanitarium) (Remastered),7LHZ7HA45ezKcdN8sBrBuS,60,1986-03-03,6.45
Welcome To Carnival,5iQDeHszlApK5qgRaqEBTv,36,2023-07-17,3.3
Camisa do Flamengo,1DPJ2KgrdygGbU95h1RGow,0,2020-12-29,2.48
Dig Dig Dig (Hempa),6bZ0rZjVyTWgiiwrQIYpwZ,46,1995-03-22,1.89
bad guy,2Fxmhks0bxGSBdJ92vM42m,84,2019-03-29,3.23
Rude,6RtPijgfPKROxEzTHNRiDp,85,2014-06-25,3.75
Lush Life,1rIKgCH4H52lrvDcz50hS8,84,2017-03-17,3.35
Know No Better,4TsTyEmNd6EoGV6jaNIO3e,62,2018-10-19,3.76
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,87,2010-01-01,3.33
Harleys In Hawaii,3B4etxytImrRKQgV3XHjnR,75,2020-08-28,3.09
"Girl, so confusing featuring lorde",2YFhqZvhTpyK13gKXMKV7R,67,2024-06-21,3.43
Cry for You,1mvZErZBp7WZT3HfGBykao,71,2007-03-08,3.5
Angel Baby,2m6Ko3CY1qXNNja8AlugNc,74,2021-09-09,3.68
Accelerate (feat. Ty Dolla $ign & 2 Chainz),0iSDDumvHTzv6we9Yr1HzY,39,2018-06-15,4.05
Prison Song,3AwLxSqo1jOOMpNsgxqRNE,72,2001-09-04,3.35
Do To Me,0CmQgwV3Bmzh9nZb9TNVEI,55,2020-07-08,3.75
Insomnia,1KynKSyhY1OJzZgQlV3Rda,45,2024-06-14,3.82
Take My Time,304wwdXiKpC0H6sMquY4cK,43,2024-06-14,3.3
All Yours,0FK76UEefHKQ78AXEWJY31,54,2024-06-14,3.48
Sympathy is a knife,5c9tBmJKbTdn1vhzXHeAwW,73,2024-06-07,2.52
Would I Lie to You - Radio Edit,4PdJSsESm34djLfBde9Pr2,66,2016-09-30,3.29
Music Sounds Better With You,303ccTay2FiDTZ9fZ2AdBt,74,1998-07-20,6.72
Lay All Your Love On Me,4euAGZTszWPrriggYK0HG9,80,1980,4.57
Wickedest,0D6XSXGNj5CTGQQzKQKQQ2,66,2024-06-06,2.61
Rewind,50GxvQA2KEWNt31EdwIlzY,65,2024-06-07,2.81
Everything is romantic,5sMEEjviCkH6Rp5X2ZvIIc,69,2024-06-07,3.39
So I,0AkiAfilrTUXV49dleC5SB,63,2024-06-07,3.52
BIPP,5HuOQHBDbb0UJjEE2fw6Uq,46,2015-11-27,3.74
Sundress,2aPTvyE09vUCRwVvj0I8WK,86,2018-11-20,2.64
Matte Black,0hPRWztAIbNkt6GcFcLiqF,76,2022-07-29,3.97
PULL UP,7pI31mg1XsAPJCB6gQJSxK,0,2016-07-15,2.98
Pull Up,6VZc5PlI7bLmgCYjODYLnG,55,2022-03-25,2.85
Baile do Bruxo,00ZKeP47bZtswtANkvxz2j,67,2023-09-29,3.69
Bad Vibes (feat. Seyi Vibez),6HTjqv0AsiZ34fOMcGCbSX,61,2024-05-09,2.81
Together Forever,00isIFJWVpXIQ8HkGICSQp,70,1987-11-12,3.43
Seven Devils,4mSRaHyKjUHz4Uh1yUb2qj,38,2011-01-01,5.05
Only If For A Night,56br3OkT0aidoI6ASqwV2N,37,2011-01-01,4.97
You've Got The Love,6u9RqxALwkjJ1ukB1y8vuP,68,2009,2.81
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,78,2009,4.2
Breath Of Life,5xze6PuNHYQhTWAPMSfDsB,45,2012-01-01,4.19
360,4w2GLmK2wnioVnb5CPQeex,83,2024-06-07,2.23
365,5h68SoVFGleijCtjEja3xG,80,2024-06-07,3.39
All in Me,4TeJ2WEguqxkLPc23Cl1ui,34,2002-02-25,4.0
Talk talk,62fqMvguJbsSs9HKhhRfuS,71,2024-06-07,2.7
Spit It Out (feat. Rochelle Jordan),73pICiosjURf6HJ6XEoexu,40,2024-06-07,3.65
Together Again,1aJnGme5ZRltYTp8FJ52eZ,68,1997-10-07,5.02
Raising Hell (feat. Big Freedia),14wPnCr1Z8CIHBVpnpcTVt,50,2020-01-31,2.83
Tonight,51CeiXQgEq3YD4D6v3GjfB,39,2020-01-31,3.27
Bad Girl,5rPzPAaOUceS8HiAculegz,65,2004-03-23,4.36
Carry Out (Featuring Justin Timberlake),2DHc2e5bBn4UzY0ENVFrUl,73,2009-01-01,3.87
Caught Up,5zdUc1JRCImBYcDWgvFNpE,68,2004-03-23,3.74
Climax,5pyVqlqThcxI7tPDjHIzPh,63,2012-06-12,3.88
Love Tonight,1u73tmG4xQschbK8cXxSD9,62,2017-12-14,8.23
Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,66,2006-10-27,3.09
BANDIT,7sTyAjxDXq9afwfSQy6D0s,72,2024-02-01,2.46
Lose Control,4fVXcxsXPW5lhy5ut9biHB,59,2021-08-18,3.03
Bag Lady,7BgUcOjSOlKJXASLgJ6bx1,60,2000-10-31,5.81
Didn't Cha Know,7pv80uUHfocFqfTytu1MVi,74,2000-10-31,3.98
Murder She Wrote,1HGyhNaRUFEDBiVLbvtbL6,74,1993-01-01,4.08
CYANIDE REMIX (feat. Koffee),5HGU08aDQkOjwogqE3SwhG,44,2019-09-30,3.69
Ten Cane Row (feat. Jorja Smith),1ObD1mQ91u4yBK46EYNCgl,49,2022-09-21,3.49
Go Your Own Way - 2004 Remaster,4xh7W7tlNMIczFhupCPniY,69,1977-02-04,3.73
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,89,1977-02-04,4.3
Second Hand News - 2004 Remaster,4SZhxF0sIS8nDvwhT0Tt2V,54,1977-02-04,2.94
Perfect Illusion,56ZrTFkANjeAMiS14njg4E,64,2016-10-21,3.03
Diamonds,1hJIbOjWpid6LtnozHmzRS,68,2020-10-30,3.56
Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,64,2010-01-01,4.63
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,77,2018-04-27,3.69
BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU,80,2024-05-17,4.97
run for the hills,51hyZpbJlIgZIaX3TtMxmu,83,2023-12-08,2.4
After Hours,2x03XLsTZ0o86h0cfHrkKF,73,2024-04-04,3.37
Selfish,0QosomGFiJYOxj2ViZfqng,69,2024-01-25,3.82
Summer Bummer (feat. A$AP Rocky & Playboi Carti),5QqyRUZeBE04yJxsD1OC0I,67,2017-07-21,4.34
Hard Feelings/Loveless,1Dp7JGFNjvg8Nk0CtMCcnr,63,2017-06-16,6.12
Passenger,3ZmxqcNIPVDOLVgyjQW4Lb,35,2013-11-30,3.67
Wild for the Night (feat. Skrillex & Birdy Nam Nam),22Mme5vsZ688TMUieIHdx3,3,2013-01-11,3.54
SUH ME LUV IT (feat. Jada Kingdom),4iyNOD4gCFiKMc62BVm0IN,0,2020-08-07,4.22
Decode,1ZLtE9tSJdaUiIJ9YoKHQe,77,2008-11-04,4.37
Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,83,1979,4.88
Ela Já Tá Louca,4aUnmZzTqfrETKCmE6zvaw,56,2021-12-23,2.46
BLUE,2prqm9sPLj10B4Wg0wE5x9,85,2024-05-17,5.72
Scream,4LD5dhQ3kqpqe14sGPDtBC,62,1995-06-16,4.64
The Sweetest Taboo,4LrGrY6IyJUlkFu6Ms4myU,62,1994-10-31,4.61
Popular Song,6AviHKu3ydzAePBmzEi62v,58,2013-01-01,3.34
Nonsense,6dgUya35uo964z7GZXM07g,88,2022-07-15,2.73
No One Dies From Love (Extended),4J1id7JSxlypixRJlTiFw0,40,2023-08-11,3.36
Boys,5o4yGlG0PfeVUa6ClIyOxq,60,2017-07-26,2.71
360,7JxexWxny7yJ3slTLmWz2U,59,2024-05-10,2.23
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",285HeuLxsngjFn4GGegGNm,75,2014-11-10,3.21
Work Out,2wAJTrFhCnQyNSD3oUgTZO,83,2011-09-27,3.92
MILLION DOLLAR BABY,7fzHQizxTqy8wTXwlrgPQQ,19,2024-04-26,2.59
RIIVERDANCE,0TsCBkrq3owPs06HP5Q9Z4,65,2024-03-29,4.2
Fineshrine,3DTWibwlDVe1QCzdpm7pFt,34,2015-06-30,3.5
Lofticries,3UmZ5JRzQQyzKJj8PChfjb,27,2015-06-30,3.99
Helena,5dTHtzHFPyi8TlTtzoz1J9,80,2004-06-08,3.41
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,83,2000-01-01,3.74
Numb,2nLtzopw4rPReszdYBJU6h,90,2003-03-25,3.13
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,92,1983-06-17,4.23
In the End,3tSmXSxaAnU1EPGKa6NytH,68,2000-10-24,3.61
Faint,4Yf5bqU3NK4kNOypcrLYwU,86,2003-03-25,2.7
The Middle,6GG73Jik4jUlQCkKg9JuGO,84,2001-07-17,2.76
Beautiful Day,1VuBmEauSZywQVtqbxNqka,68,2000-01-01,4.11
When You Were Young,70wYA8oYHoMzhRRkARoMhU,80,2006-09-27,3.67
Gives You Hell,6ihL9TjfRjadfEePzXXyVF,75,2008-01-01,3.55
Misery Business,6SpLc7EXZIPpy0sVko0aoU,78,2007-06-12,3.53
You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,80,1986-08-16,3.71
"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,80,2005-05-03,3.82
Everlong,5UWwZ5lm5PKu6eKsHAGxOk,85,1997-05-20,4.18
Don't Stop Believin' (2022 Remaster),5RKQ5NdjSh2QzD4MaunT91,88,1981-07-17,4.16
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,88,2003-03-04,3.93
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,87,2001-09-11,3.73
All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,84,1999-06-01,2.78
"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,79,2005-05-03,3.0
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,83,2006-06-19,3.54
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,81,1979-01-01,4.76
Suavemente,5xpEO87zQsUYrfX7GtV4aE,22,2012-03-12,4.37
21 Guns,64yrDBpcdwEdNY9loyEGbX,78,2009-05-15,5.35
Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,81,2004-09-21,4.76
Jesus of Suburbia,58KPPL1AdLHMvR2O2PZejr,70,2004-09-21,9.14
Boulevard of Broken Dreams,1hwJKpe0BPUsq6UUrwBWTw,75,2004,4.35
American Idiot,6nTiIhLmQ3FWhvrGafw2zj,85,2004-09-21,2.94
Von dutch,01TnMXIy7mJJQ7E8uy937N,61,2024-02-29,2.74
Give It Up to Me,6YB6CK4Tsb0BgtxCEL9KlI,69,2005-09-27,4.04
Lick (with Megan Thee Stallion),12WiFGJuVhlDTHkYU8cmUA,47,2022-03-11,2.78
Happy For You,05oC2UvKDcx0cY2wg9gzKC,68,2024-05-03,4.09
Maria,4tqOaLJdXjWi4OaFSKIT2R,64,2024-05-03,3.13
These Walls,7b6sWLSnbZhSIeqNGrJ4py,77,2024-05-03,3.63
Selling,4cQzKnVFTYNmlaJnls9lAL,38,2024-03-06,2.33
Red Wine Supernova,7FOgcfdz9Nx5V9lCNXdBYv,85,2023-09-22,3.21
I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,85,1984-12-12,5.08
Let's Groove,3koCCeSaVUyrRo3N2gHrd8,83,1981-11-14,5.66
More Than A Woman,3KfFrcJoCFXU2uFiO7XwTh,53,1977-11-15,3.27
Runnin,5SWnsxjhdcEDc7LJjq9UHk,81,2020-10-02,3.27
Gal A Wha Me Do U Mek U Do Me Dat,1vuPQtlLyJyh47ynuofOYn,0,2009-01-01,3.03
Two Weeks,6V0LX0hP1S0qH513CChAKt,58,2014-08-11,4.13
1 Night (feat. Charli XCX),06XuHBFQejxy9jhNBaHEwx,49,2017-07-14,3.46
Love$ick (feat. A$AP Rocky),3sTN90bIP2cJ1783ctHykO,73,2017-07-14,3.2
Baby,5uKJiHdlDBz53cM1qZd0yB,55,2023-01-12,2.71
TWIST & TURN (feat. Drake & PARTYNEXTDOOR),27g5G3TW90FSm3YxclYpAs,63,2020-08-07,4.33
